#chrom	start	end	name	score	strand	thickStart	thickEnd	itemRGB	blockCount	blockSizes	blockStart	deepTools_group
1	153485660	153489660	ENSMUSG00000042699.11	.	-	153485660	153489660	0	1	4000	153485659	cluster_1
17	29030673	29034673	ENSMUSG00000071172.12	.	+	29030673	29034673	0	1	4000	29030671	cluster_1
19	36832232	36836232	ENSMUSG00000024811.11	.	+	36832232	36836232	0	1	4000	36832229	cluster_1
7	92667934	92671934	ENSMUSG00000041328.16	.	-	92667934	92671934	0	1	4000	92667925	cluster_1
1	59682971	59686971	ENSMUSG00000026020.9	.	+	59682971	59686971	0	1	4000	59682966	cluster_1
4	34548937	34552937	ENSMUSG00000028291.7	.	+	34548937	34552937	0	1	4000	34548934	cluster_1
14	52102028	52106028	ENSMUSG00000060373.15	.	-	52102028	52106028	0	1	4000	52102023	cluster_1
1	127772164	127776164	ENSMUSG00000026349.14	.	+	127772164	127776164	0	1	4000	127772163	cluster_1
4	127019324	127023324	ENSMUSG00000028820.13	.	+	127019324	127023324	0	1	4000	127019323	cluster_1
18	10615796	10619796	ENSMUSG00000002477.4	.	+	10615796	10619796	0	1	4000	10615795	cluster_1
9	90112774	90116774	ENSMUSG00000062270.14	.	-	90112774	90116774	0	1	4000	90112765	cluster_1
18	42509510	42513510	ENSMUSG00000024498.15	.	+	42509510	42513510	0	1	4000	42509506	cluster_1
11	80381279	80385279	ENSMUSG00000017421.18	.	+	80381279	80385279	0	1	4000	80381271	cluster_1
15	31599804	31603804	ENSMUSG00000022234.15	.	-	31599804	31603804	0	1	4000	31599801	cluster_1
11	52096681	52100681	ENSMUSG00000020349.4	.	+	52096681	52100681	0	1	4000	52096676	cluster_1
5	52188514	52192514	ENSMUSG00000029169.11	.	-	52188514	52192514	0	1	4000	52188509	cluster_1
3	88530395	88534395	ENSMUSG00000074480.4	.	+	88530395	88534395	0	1	4000	88530387	cluster_1
17	88063291	88067291	ENSMUSG00000005371.14	.	-	88063291	88067291	0	1	4000	88063283	cluster_1
2	156109965	156113965	ENSMUSG00000074643.12	.	-	156109965	156113965	0	1	4000	156109964	cluster_1
1	86524726	86528726	ENSMUSG00000026238.14	.	+	86524726	86528726	0	1	4000	86524718	cluster_1
1	80338480	80342480	ENSMUSG00000004364.14	.	-	80338480	80342480	0	1	4000	80338472	cluster_1
4	121213084	121217084	ENSMUSG00000049878.13	.	-	121213084	121217084	0	1	4000	121213083	cluster_1
2	156109978	156113978	ENSMUSG00000089824.10	.	-	156109978	156113978	0	1	4000	156109977	cluster_1
6	49262033	49266033	ENSMUSG00000029817.11	.	-	49262033	49266033	0	1	4000	49262029	cluster_1
11	55467685	55471685	ENSMUSG00000018583.5	.	+	55467685	55471685	0	1	4000	55467680	cluster_1
15	31529053	31533053	ENSMUSG00000039100.10	.	-	31529053	31533053	0	1	4000	31529050	cluster_1
13	51643232	51647232	ENSMUSG00000062248.5	.	+	51643232	51647232	0	1	4000	51643227	cluster_1
8	23206346	23210346	ENSMUSG00000031545.6	.	-	23206346	23210346	0	1	4000	23206344	cluster_1
13	119688379	119692379	ENSMUSG00000093930.2	.	+	119688379	119692379	0	1	4000	119688378	cluster_1
14	105894819	105898819	ENSMUSG00000022114.5	.	-	105894819	105898819	0	1	4000	105894818	cluster_1
5	108063674	108067674	ENSMUSG00000029267.17	.	+	108063674	108067674	0	1	4000	108063673	cluster_1
12	8672134	8676134	ENSMUSG00000020594.14	.	+	8672134	8676134	0	1	4000	8672126	cluster_1
8	123040277	123044277	ENSMUSG00000035569.17	.	-	123040277	123044277	0	1	4000	123040276	cluster_1
4	34880960	34884960	ENSMUSG00000039967.14	.	-	34880960	34884960	0	1	4000	34880957	cluster_1
1	162738556	162742556	ENSMUSG00000040225.15	.	-	162738556	162742556	0	1	4000	162738555	cluster_1
18	61553274	61557274	ENSMUSG00000024576.14	.	+	61553274	61557274	0	1	4000	61553268	cluster_1
4	55348043	55352043	ENSMUSG00000028426.10	.	+	55348043	55352043	0	1	4000	55348038	cluster_1
6	134564965	134568965	ENSMUSG00000030201.15	.	-	134564965	134568965	0	1	4000	134564964	cluster_1
13	8994083	8998083	ENSMUSG00000021149.8	.	-	8994083	8998083	0	1	4000	8994075	cluster_1
11	23254041	23258041	ENSMUSG00000020290.14	.	+	23254041	23258041	0	1	4000	23254039	cluster_1
16	16981382	16985382	ENSMUSG00000063358.17	.	+	16981382	16985382	0	1	4000	16981381	cluster_1
9	101072101	101076101	ENSMUSG00000066415.4	.	+	101072101	101076101	0	1	4000	101072100	cluster_1
1	55025481	55029481	ENSMUSG00000025982.13	.	-	55025481	55029481	0	1	4000	55025476	cluster_1
3	158034639	158038639	ENSMUSG00000055436.18	.	-	158034639	158038639	0	1	4000	158034638	cluster_1
8	95805464	95809464	ENSMUSG00000036550.16	.	-	95805464	95809464	0	1	4000	95805455	cluster_1
1	82837483	82841483	ENSMUSG00000026159.13	.	+	82837483	82841483	0	1	4000	82837475	cluster_1
17	87444935	87448935	ENSMUSG00000036438.12	.	-	87444935	87448935	0	1	4000	87444927	cluster_1
8	126943844	126947844	ENSMUSG00000093904.2	.	-	126943844	126947844	0	1	4000	126943843	cluster_1
9	95509996	95513996	ENSMUSG00000032407.14	.	-	95509996	95513996	0	1	4000	95509987	cluster_1
2	94436136	94440136	ENSMUSG00000027193.12	.	-	94436136	94440136	0	1	4000	94436127	cluster_1
8	119908841	119912841	ENSMUSG00000092329.1	.	+	119908841	119912841	0	1	4000	119908840	cluster_1
16	22264005	22268005	ENSMUSG00000022858.16	.	-	22264005	22268005	0	1	4000	22264003	cluster_1
8	40513847	40517847	ENSMUSG00000031601.16	.	-	40513847	40517847	0	1	4000	40513843	cluster_1
11	23304895	23308895	ENSMUSG00000056342.16	.	+	23304895	23308895	0	1	4000	23304893	cluster_1
6	148944467	148948467	ENSMUSG00000039985.14	.	-	148944467	148948467	0	1	4000	148944466	cluster_1
4	135351321	135355321	ENSMUSG00000028809.16	.	-	135351321	135355321	0	1	4000	135351320	cluster_1
